Country name;Ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom Index;The World Giving Index;Corruption Perceptions Index
Spain;6.436;10.54;0.932;72.09;8.03;37.0;60.0
Sri Lanka;4.442;9.491;0.826;67.05;6.13;49.0;36.0
State of Palestine;4.908;8.716;0.859;66.47;6.94;27.0;26.0
Sweden;7.395;10.883;0.939;71.91;8.75;48.0;83.0
Switzerland;7.24;11.164;0.92;72.52;9.01;42.0;82.0
Taiwan Province of China;6.535;10.797;0.884;72.52;8.56;35.0;68.0
Tajikistan;5.33;8.237;0.836;62.01;5.44;48.0;24.0
Tanzania;3.694;7.857;0.653;58.48;6.16;30.0;38.0
Thailand;5.843;9.751;0.874;68.26;6.67;45.0;36.0
Togo;4.137;7.673;0.595;56.19;6.2;35.0;30.0
Tunisia;4.497;9.244;0.73;66.89;6.22;24.0;40.0
Türkiye;4.614;10.307;0.796;68.41;5.63;27.0;36.0
Uganda;4.432;7.716;0.794;58.21;5.75;46.0;26.0
Ukraine;5.071;9.314;0.878;64.3;6.72;62.0;33.0
United Arab Emirates;6.571;11.145;0.826;65.99;5.73;52.0;67.0
United Kingdom;6.796;10.704;0.882;70.13;8.39;49.0;73.0
United States;6.894;11.048;0.919;66.12;8.39;58.0;69.0
Uruguay;6.494;10.037;0.913;67.51;7.96;41.0;74.0
Uzbekistan;6.014;8.948;0.875;64.68;9.38;45.0;31.0
Venezuela;5.211;5.527;0.839;65.3;4.22;40.0;14.0
Vietnam;5.763;9.287;0.821;57.53;5.51;23.0;42.0
Zambia;3.982;8.074;0.694;54.4;6.21;39.0;33.0
Zimbabwe;3.204;7.641;0.69;53.07;4.86;31.0;23.0
